,000300.SH,000905.SH
2010-09-02,2921.393,4625.395
2010-09-03,2920.205,4662.96
2010-09-06,2975.09,4651.963
2010-09-07,2983.108,4679.942
2010-09-08,2980.967,4720.375
2010-09-09,2926.46,4658.009
2010-09-10,2932.554,4705.31
2010-09-13,2962.319,4789.693
2010-09-14,2965.009,4805.416
2010-09-15,2913.194,4730.143
2010-09-16,2857.789,4610.916
2010-09-17,2861.369,4603.489
2010-09-20,2849.828,4553.12
2010-09-21,2857.476,4546.724
2010-09-27,2905.029,4673.602
2010-09-28,2880.907,4654.345
2010-09-29,2874.812,4590.317
2010-09-30,2935.574,4660.605
2010-10-08,3044.233,4767.967
2010-10-11,3132.895,4789.155
2010-10-12,3172.726,4806.029
2010-10-13,3217.577,4836.737
2010-10-14,3224.14,4679.548
2010-10-15,3327.683,4691.45
2010-10-18,3306.16,4636.639
2010-10-19,3375.674,4778.607
2010-10-20,3396.879,4794.194
2010-10-21,3374.685,4833.8
2010-10-22,3378.655,4877.927
2010-10-25,3481.081,4998.5
2010-10-26,3466.084,5046.148
2010-10-27,3403.872,4994.774
2010-10-28,3397.692,4999.59
2010-10-29,3379.983,5055.492
2010-11-01,3472.995,5199.525
2010-11-02,3463.131,5173.066
2010-11-03,3420.341,5098.539
2010-11-04,3480.505,5228.296
2010-11-05,3520.798,5311.77
2010-11-08,3548.566,5431.091
2010-11-09,3523.954,5467.839
2010-11-10,3499.111,5484.742
2010-11-11,3509.975,5440.099
2010-11-12,3291.833,5111.189
2010-11-15,3314.893,5255.267
2010-11-16,3169.538,5068.465
2010-11-17,3103.906,4855.85
2010-11-18,3147.962,4932.401
2010-11-19,3178.846,5081.03
2010-11-22,3171.941,5150.665
2010-11-23,3107.176,5063.237
2010-11-24,3177.043,5206.149
2010-11-25,3223.484,5259.81
2010-11-26,3194.853,5227.648
2010-11-29,3190.05,5248.747
2010-11-30,3136.985,5110.875
2010-12-01,3136.024,5116.837
2010-12-02,3155.059,5138.487
2010-12-03,3158.156,5100.366
2010-12-06,3165.57,5016.528
2010-12-07,3200.339,5084.583
2010-12-08,3171.882,5069.97
2010-12-09,3123.366,4964.901
2010-12-10,3161.977,5039.165
2010-12-13,3261.061,5179.021
2010-12-14,3269.474,5244.038
2010-12-15,3247.644,5230.68
2010-12-16,3230.665,5216.851
2010-12-17,3225.661,5228.337
2010-12-20,3178.657,5163.529
2010-12-21,3249.509,5222.792
2010-12-22,3215.453,5174.539
2010-12-23,3188.607,5069.523
2010-12-24,3162.955,4991.544
2010-12-27,3099.709,4849.63
2010-12-28,3044.931,4730.497
2010-12-29,3061.83,4812.532
2010-12-30,3064.098,4828.489
2010-12-31,3128.261,4936.716
2011-01-04,3189.682,5011.498
2011-01-05,3175.662,5028.766
2011-01-06,3159.643,5001.283
2011-01-07,3166.624,4975.144
2011-01-10,3108.187,4830.562
2011-01-11,3124.922,4804.822
2011-01-12,3142.337,4833.58
2011-01-13,3141.284,4826.757
2011-01-14,3091.862,4723.426
2011-01-17,2974.35,4519.913
2011-01-18,2977.648,4536.964
2011-01-19,3044.851,4646.087
2011-01-20,2944.713,4477.359
2011-01-21,2983.456,4506.322
2011-01-24,2954.232,4398.495
2011-01-25,2938.654,4341.909
2011-01-26,2978.431,4424.892
2011-01-27,3026.466,4502.808
2011-01-28,3036.735,4548.206
2011-01-31,3076.508,4610.86
2011-02-01,3077.283,4630.58
2011-02-09,3040.949,4609.717
2011-02-10,3104.163,4733.973
2011-02-11,3120.956,4786.806
2011-02-14,3219.143,4872.495
2011-02-15,3217.671,4869.687
2011-02-16,3248.527,4952.667
2011-02-17,3245.907,4987.48
2011-02-18,3211.876,4941.432
2011-02-21,3257.908,5042.967
2011-02-22,3163.578,4909.745
2011-02-23,3174.742,4979.057
2011-02-24,3190.935,5027.731
2011-02-25,3197.617,5032.797
2011-02-28,3239.559,5095.208
2011-03-01,3254.893,5122.441
2011-03-02,3243.298,5108.74
2011-03-03,3221.718,5009.047
2011-03-04,3270.666,5067.621
2011-03-07,3334.51,5138.248
2011-03-08,3337.457,5165.735
2011-03-09,3338.858,5181.368
2011-03-10,3280.259,5143.413
2011-03-11,3247.376,5139.746
2011-03-14,3262.92,5190.037
2011-03-15,3203.961,5131.332
2011-03-16,3248.195,5199.358
2011-03-17,3197.1,5104.134
2011-03-18,3215.685,5126.934
2011-03-21,3207.11,5086.108
2011-03-22,3222.961,5085.812
2011-03-23,3264.926,5155.337
2011-03-24,3251.361,5169.264
2011-03-25,3294.484,5212.345
2011-03-28,3290.571,5199.552
2011-03-29,3257.979,5111.153
2011-03-30,3256.08,5064.545
2011-03-31,3223.288,5000.402
2011-04-01,3272.729,5065.076
2011-04-06,3311.067,5057.84
2011-04-07,3324.419,5089.751
2011-04-08,3353.358,5148.799
2011-04-11,3333.427,5107.137
2011-04-12,3326.771,5114.459
